Customer_ID,Full_Name,ID_Number,Date_of_Birth,Age,Gender,Phone_Number,Email,Address,Location,Employment_Status,Monthly_Income_Bracket,Estimated_Monthly_Income,Account_Opening_Date,Has_Savings_Account,Account_Balance,Loan_ID,Loan_Product,Loan_Amount,Interest_Rate,Term_Type,Term_Months,Term_Weeks,Total_Loan_Amount,Loan_Disbursement_Date,Next_Due_Date,Loan_Status,Outstanding_Balance,Total_Paid,Overdue_Amount,Payments_Made,Payments_Missed,Number_of_Loans,Number_of_Declined_Loans,Declined_Loans_Details,Profile_Type,Is_Defaulter
CUST-000001,Joshua Barrera,060***43,1975-11-10,50,Male,+254 *** *** 444,,"1864 Oneill Station Suite 767, Nairobi",Nairobi,Self-employed/Business owner,"30,001 - 50,000",40000,2023-04-01,No,2219.66,LOAN-000001-01,Business Capital Loan,137000,19.5,monthly,9.0,,163715.0,2026-01-02,2026-02-01,Overdue,163715.0,0.0,18190.56,0,1,3,0,,Overburdened Family Person,Yes
CUST-000002,Angela Rodriguez,301***00,1996-08-18,29,Female,+254 *** *** 073,mi***n@outlook.co.ke,"0664 Andrea Lane, Nairobi",Nairobi,Formally employed (contract),"10,000 - 20,000",15000,2025-01-09,No,1726.88,LOAN-000002-01,Cash Loan,50000,18.5,monthly,12.0,,59250.0,2025-09-20,,Defaulted,49526.39,9723.61,9875.0,2,2,3,0,,Entry Level Worker,Yes
CUST-000003,Jeremy Harrell,458***39,1991-12-20,34,Male,+254 *** *** 940,ga***a@outlook.co.ke,"291 Tiffany Plains, Kayole",Kayole,Formally employed (contract),"20,001 - 30,000",25000,2024-04-23,Yes,19904.14,LOAN-000003-01,Business Capital Loan,81000,19.5,monthly,12.0,,96795.0,2025-07-27,2026-01-23,Active,56463.75,40331.25,1385.11,5,1,1,0,,Hustler/Casual Worker,No
CUST-000004,Kim Mahoney,757***44,1989-06-07,36,Female,+254 *** *** 266,,"684 Martinez Junctions, Nairobi",Nairobi,Formally employed (permanent),"50,001 - 100,000",75000,2025-04-08,Yes,77226.63,LOAN-000004-01,Business Capital Loan,115000,19.5,weekly,,48.0,137425.0,2025-06-27,,Completed,62986.46,74438.54,902.9,26,5,1,2,"Utility Loan (21,000 KES) - Loan amount too high; Business Capital Loan (85,000 KES) - Loan amount too high",Stable Professional,No
CUST-000005,Kimberly Thompson,941***86,1991-01-04,35,Female,+254 *** *** 857,sh***y@outlook.com,"580 Cynthia Lock, Kamulu",Kamulu,Self-employed/Business owner,"20,001 - 30,000",25000,2024-05-20,No,2400.35,LOAN-000005-01,Cash Loan,48000,18.5,monthly,6.0,,56880.0,2025-03-11,2025-09-07,Active,9480.0,47400.0,1373.43,5,1,1,0,,Hustler/Casual Worker,No
CUST-000006,Lauren Foster,779***69,1988-10-11,37,Female,+254 *** *** 028,op***e@yandex.com,"1674 Shirley Drive Apt. 056, Mwea",Mwea,Formally employed (permanent),"50,001 - 100,000",75000,2024-08-10,Yes,16894.01,LOAN-000006-01,School Fees Loan,75000,14.5,monthly,6.0,,85875.0,2025-06-03,,Completed,14312.5,71562.5,497.03,5,1,2,0,,Stable Professional,No
CUST-000007,Brian Pollard,842***32,1983-06-24,42,Male,+254 *** *** 886,mo***s@outlook.com,"73940 Monica Plains, Kamulu",Kamulu,Formally employed (permanent),"Above 100,000",150000,2023-04-06,Yes,220804.3,LOAN-000007-01,Emergency Loan,70000,22.0,monthly,6.0,,85400.0,2025-08-26,,Completed,28466.67,56933.33,717.84,4,1,2,2,"Utility Loan (35,000 KES) - Age limit exceeded; Business Capital Loan (135,000 KES) - High debt-to-income ratio",Stable Professional,No
CUST-000008,Jonathan Wise,251***53,1993-04-16,32,Male,+254 *** *** 946,jd***s@mail.com,"42651 Daniel Radial, Nairobi",Nairobi,Casual laborer,"20,001 - 30,000",25000,2024-09-03,No,2150.05,LOAN-000008-01,Cash Loan,60000,18.5,weekly,,12.0,71100.0,2025-05-24,,Defaulted,31841.84,39258.16,29625.0,7,5,4,0,,Hustler/Casual Worker,Yes
CUST-000009,Jessica Meadows,667***79,1993-12-26,32,Female,+254 *** *** 591,zm***z@hotmail.com,"64831 Rodriguez Island Suite 739, Nairobi",Nairobi,Formally employed (permanent),"50,001 - 100,000",75000,2024-01-15,Yes,160454.1,LOAN-000009-01,Business Capital Loan,230000,19.5,weekly,,36.0,274850.0,2025-02-12,,Completed,7634.72,267215.28,33.56,35,1,1,0,,Stable Professional,No
CUST-000010,Nicole Hamilton,497***06,1986-07-09,39,Female,+254 *** *** 741,rw***t@aol.com,"223 Brandon Flats Apt. 108, Nairobi",Nairobi,Self-employed/Business owner,"30,001 - 50,000",40000,2024-01-15,Yes,100779.87,LOAN-000010-01,Emergency Loan,63000,22.0,weekly,,24.0,76860.0,2025-08-05,2026-01-13,Active,6405.0,70455.0,1153.24,22,2,1,0,,Overburdened Family Person,No
